temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
2.815877;5.4148445;5821.947;-4462.253;1359.6938;18013.654;0.0002109249;0.0070308303
2.8689275;6.749814;6014.4404;-3577.5874;2436.853;24731.23;0.0008487745;0.014146241
3.0323455;8.46399;6566.722;-2504.8086;4061.9138;32723.717;0.0019304503;0.021449449
3.4438052;10.034627;7688.7246;-1718.1257;5970.5986;38740.836;0.0035049731;0.02920811
4.142965;11.125246;9300.649;-1454.2571;7846.3926;41157.555;0.0056683007;0.037788674
5.001583;11.827769;11078.857;-1530.5984;9548.259;41143.418;0.0085486155;0.047492307
5.8549323;12.332545;12757.11;-1713.1812;11043.93;40264.473;0.012269223;0.05842487
6.623211;12.722078;14236.874;-1912.2405;12324.634;39164.53;0.016923493;0.07051455
7.288171;13.019097;15505.616;-2114.266;13391.351;37993.363;0.022572584;0.08360216
7.8516006;13.2521305;16551.959;-2299.1917;14252.769;36927.387;0.029253181;0.097510606
8.299199;13.490509;17325.152;-2398.4;14926.753;36435.254;0.036976498;0.11205
8.599568;13.797724;17788.344;-2348.1104;15440.233;36924.414;0.045712918;0.12698032
8.756259;14.123011;18028.885;-2216.5413;15812.344;37953.133;0.05537654;0.14199114
8.846627;14.341898;18207.953;-2154.5264;16053.426;38548.574;0.06585313;0.15679316
8.931056;14.473791;18358.654;-2155.5918;16203.063;38747.69;0.077061705;0.17124824
8.989039;14.590079;18441.648;-2147.6829;16293.967;39001.82;0.08894397;0.18529995
9.009305;14.725378;18449.814;-2101.0435;16348.771;39505.07;0.10144329;0.19890842
8.998673;14.854729;18418.23;-2046.595;16371.637;40057.91;0.114499986;0.21203701
8.979751;14.952232;18370.576;-2012.4937;16358.083;40479.348;0.12805697;0.22466135
8.9506645;15.020978;18309.658;-1995.5774;16314.081;40780.062;0.14206472;0.23677453
8.921455;15.033201;18259.56;-2026.1984;16233.361;40769.45;0.15647946;0.2483801
8.900619;15.007313;18211.12;-2087.2183;16123.901;40560.824;0.17126884;0.25949824
8.87123;14.998865;18126.143;-2123.0454;16003.098;40515.258;0.18640639;0.27015418
8.818862;15.0154295;18001.92;-2128.9207;15872.999;40676.676;0.20185752;0.28035766
8.7500305;15.065742;17833.01;-2096.4458;15736.564;41100.223;0.21758276;0.29011035
8.654699;15.153329;17617.79;-2021.342;15596.446;41806.754;0.23353256;0.29940072
8.545841;15.233788;17412.24;-1954.5203;15457.72;42458.715;0.24964692;0.30820608
8.458555;15.285992;17258.355;-1926.3494;15332.006;42865.25;0.2658854;0.31653026
8.395881;15.347318;17141.488;-1899.8635;15241.624;43244.688;0.28223005;0.32440236
8.346324;15.420715;17056.82;-1872.1588;15184.662;43621.465;0.29866454;0.3318495
8.31693;15.475715;17009.645;-1869.1823;15140.462;43831.64;0.3151791;0.33890226
8.299056;15.552588;16956.951;-1844.584;15112.368;44163.53;0.33178404;0.34560835
8.268138;15.642047;16913.34;-1809.264;15104.076;44541.27;0.34847844;0.35199842
8.264727;15.6433735;16962.771;-1870.4321;15092.339;44293.277;0.36525756;0.35809565
8.310509;15.606277;17065.82;-1978.6555;15087.164;43746.94;0.38217756;0.36397865
8.356302;15.614345;17132.512;-2043.426;15089.085;43498.69;0.39931193;0.36973327
8.369901;15.726426;17101.52;-2000.9423;15100.576;43963.453;0.41670763;0.3754123
8.327702;15.924617;16990.604;-1869.5082;15121.096;45016.355;0.4343634;0.38102052
8.273074;16.07344;16910.877;-1787.5972;15123.279;45764.125;0.45223987;0.3865298
8.251062;16.168964;16870.318;-1759.354;15110.964;46171.598;0.47032326;0.39193606
8.230398;16.272337;16799.793;-1716.472;15083.321;46678.902;0.4885969;0.39723322
8.18092;16.444046;16645.424;-1594.3448;15051.078;47691.695;0.5070082;0.40238747
8.084454;16.698318;16400.031;-1378.3597;15021.672;49294.266;0.5254691;0.40734038
7.951661;16.982437;16143.874;-1129.3398;15014.534;51067.562;0.54386806;0.41202125
7.856101;17.06761;16077.573;-1084.8823;14992.69;51489.434;0.56206954;0.41634777
7.8869267;16.959007;16187.426;-1238.658;14948.768;50612.082;0.5800325;0.42031342
7.9414873;16.907784;16239.754;-1326.031;14913.723;50129.363;0.5978388;0.42399913
7.929915;16.972532;16180.883;-1286.9624;14893.92;50434.67;0.61555165;0.42746642
7.891695;17.015297;16146.017;-1270.096;14875.921;50585.945;0.6331924;0.43074313
7.900029;16.950737;16228.554;-1370.9263;14857.628;49981.277;0.6508164;0.4338776
7.9670496;16.832867;16367.483;-1530.3978;14837.085;49004.67;0.668522;0.43694246
8.025513;16.79752;16444.527;-1609.9366;14834.591;48551.184;0.6864153;0.44000983
8.043749;16.83154;16451.512;-1619.3987;14832.114;48573.656;0.7045489;0.4431125
8.033067;16.927189;16401.018;-1567.0155;14834.001;49009.695;0.7229034;0.44623664
7.9990315;17.032307;16330.706;-1504.3828;14826.323;49532.37;0.74140966;0.44933918
7.967581;17.121136;16258.495;-1455.6205;14802.875;49981.812;0.7599816;0.45237
7.9287057;17.210167;16168.45;-1403.1938;14765.257;50469.19;0.77852535;0.45527798
7.880085;17.311823;16048.208;-1331.6411;14716.566;51078.945;0.79696643;0.4580267
7.813377;17.423508;15918.675;-1247.3003;14671.375;51756.88;0.81526834;0.4606036
7.7607703;17.453094;15867.779;-1246.428;14621.351;51885.832;0.8334069;0.46300384
7.762423;17.384645;15917.258;-1349.9021;14567.355;51345.63;0.8514097;0.4652512
7.7980933;17.332952;15967.613;-1440.9526;14526.661;50883.24;0.8693924;0.46741527
7.8045707;17.388271;15939.593;-1426.1875;14513.405;51087.92;0.88747025;0.46956095
7.779004;17.444773;15913.457;-1410.2976;14503.159;51295.438;0.9056798;0.47170824
7.784519;17.424889;15947.474;-1469.2169;14478.257;51020.14;0.92401993;0.4738564
7.8048873;17.414196;15977.774;-1518.4036;14459.371;50796.02;0.9424979;0.47600904
7.811056;17.440226;15973.84;-1530.1663;14443.674;50814.824;0.96113276;0.47817552
7.8004375;17.515059;15925.021;-1492.6855;14432.336;51155.28;0.97995377;0.4803695
7.766176;17.626154;15837.521;-1416.8549;14420.667;51745.914;0.9989757;0.48259693
7.7202563;17.739939;15740.681;-1337.289;14403.393;52369.594;1.0181772;0.48484626
7.6766715;17.831741;15664.746;-1280.0675;14384.679;52849.414;1.0375216;0.48709938
7.6509023;17.884138;15622.996;-1263.175;14359.821;53076.516;1.0569786;0.4893419
7.6375318;17.913166;15611.582;-1272.5521;14339.029;53133.86;1.0765113;0.49155766
7.6421046;17.910099;15623.484;-1313.5027;14309.981;52994.25;1.0960666;0.4937237
7.6392455;17.980055;15576.365;-1282.5791;14293.786;53315.93;1.1156118;0.49582744
7.5953207;18.10787;15477.916;-1193.7635;14284.152;54012.96;1.1350927;0.4978477
7.5506845;18.183264;15419.371;-1155.835;14263.536;54386.516;1.1544236;0.49975047
7.5396986;18.200184;15410.839;-1176.4294;14234.409;54387.574;1.1735457;0.50151527
7.539213;18.216545;15403.516;-1197.7953;14205.721;54384.062;1.1924666;0.50315046
7.5319476;18.251493;15371.417;-1198.3171;14173.101;54517.375;1.211215;0.5046729
7.5051417;18.340887;15292.563;-1143.7402;14148.823;54998.977;1.2298101;0.5060947
7.457652;18.452438;15205.268;-1067.8263;14137.441;55602.27;1.2482716;0.50742745
7.425298;18.503017;15181.089;-1053.7311;14127.358;55797.31;1.2666311;0.5086872
7.432226;18.504904;15202.036;-1086.9939;14115.042;55676.562;1.2849371;0.5098957
7.4393315;18.535318;15193.823;-1087.742;14106.081;55746.902;1.303227;0.5110694
7.424905;18.580288;15151.392;-1065.5598;14085.831;55953.91;1.3214942;0.5122071
7.399542;18.631702;15088.019;-1029.9409;14058.078;56233.56;1.3397242;0.5133043
7.366516;18.670506;15034.459;-1003.7229;14030.735;56436.152;1.3579131;0.5143611
7.353274;18.630352;15052.369;-1053.7859;13998.584;56131.1;1.3760341;0.5153686
7.3859296;18.474703;15171.211;-1216.9426;13954.268;55089.637;1.3940563;0.5163171
7.460117;18.29014;15312.842;-1407.8536;13904.988;53866.785;1.4120083;0.5172191
7.5127826;18.19498;15375.649;-1509.9834;13865.666;53211.61;1.4299566;0.5181002
7.522816;18.161238;15387.914;-1553.3948;13834.52;52939.46;1.4479371;0.5189739
7.5342464;18.069912;15443.99;-1656.6544;13787.336;52314.285;1.4659283;0.51983273
7.5720353;18.004082;15483.148;-1741.2432;13741.905;51839.164;1.483919;0.52067333
7.56351;18.095493;15402.233;-1679.7666;13722.467;52325.9;1.5019231;0.52150106
7.499639;18.269691;15261.305;-1544.3439;13716.961;53313.996;1.519952;0.5223203
7.436115;18.414106;15141.553;-1439.2588;13702.294;54125.855;1.5380098;0.52313256
7.383556;18.55128;15024.296;-1340.5623;13683.734;54901.848;1.556059;0.5239256
7.3213987;18.706722;14880.661;-1221.3394;13659.321;55816.426;1.5740618;0.52468723
7.244426;18.876617;14717.758;-1084.788;13632.97;56838.184;1.5920098;0.5254158
7.166313;19.02078;14571.767;-969.49927;13602.267;57711.523;1.6098839;0.5261059
7.103759;19.122591;14460.348;-891.4453;13568.902;58325.05;1.6276158;0.5267365
7.0579414;19.169645;14387.282;-858.7879;13528.494;58614.133;1.6451117;0.5272794
7.0313377;19.158316;14362.134;-875.8664;13486.268;58542.38;1.6623036;0.52771544
7.0332794;19.064339;14407.208;-968.4743;13438.733;57953.94;1.6791753;0.52804255
7.0731745;18.885775;14529.499;-1142.1112;13387.388;56824.906;1.6957436;0.52826905
7.14677;18.665886;14693.619;-1359.9473;13333.672;55421.617;1.7120571;0.5284127
7.225588;18.492298;14824.897;-1540.0315;13284.866;54290.86;1.7282252;0.52850926
7.266325;18.480349;14826.62;-1571.1194;13255.501;54149.75;1.7444031;0.528607
7.228157;18.628283;14703.299;-1455.6067;13247.691;54983.02;1.7607129;0.5287426
7.157274;18.79301;14575.856;-1329.7074;13246.149;55902.926;1.7772229;0.5289354
7.110038;18.896227;14511.4795;-1268.5115;13242.969;56421.285;1.7939765;0.5291966
